Model,Parameters Tested,Best Parameters,Best Validation Result,Accuracy,Precision,Recall,F1-score,ROC-AUC,Confusion Matrix
Logistic Regression,"C: [0.01, 0.1, 1, 10]; solver: ['liblinear', 'lbfgs']","{'C': 1, 'solver': 'liblinear'}",5-fold CV F1 = 0.860,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8712121212121212,"[[21  7]
 [ 5 28]]"
Decision Tree,"max_depth: [3, 5, 10, None]; criterion: ['gini', 'entropy']","{'criterion': 'entropy', 'max_depth': 3}",5-fold CV F1 = 0.837,0.7704918032786885,0.7435897435897436,0.8787878787878788,0.8055555555555556,0.8306277056277056,"[[18 10]
 [ 4 29]]"
KNN,"n_neighbors: [3, 5, 7, 9]; weights: ['uniform', 'distance']","{'n_neighbors': 7, 'weights': 'distance'}",5-fold CV F1 = 0.861,0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.8560606060606062,"[[20  8]
 [ 5 28]]"
Random Forest,"n_estimators: [50, 100, 200]; max_depth: [3, 5, 10, None]; criterion: ['gini', 'entropy']","{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}",5-fold CV F1 = 0.877,0.7540983606557377,0.75,0.8181818181818182,0.782608695652174,0.8766233766233766,"[[19  9]
 [ 6 27]]"
Logistic Regression with Feature Selection,,"{'C': 0.01, 'solver': 'liblinear'}",,0.8032786885245902,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8820346320346321,"[[22  6]
 [ 6 27]]"
Decision Tree with Feature Selection,,"{'criterion': 'entropy', 'max_depth': 5}",,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.7830086580086582,"[[20  8]
 [ 7 26]]"
KNN with Feature Selection,,"{'n_neighbors': 9, 'weights': 'uniform'}",,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8625541125541126,"[[21  7]
 [ 5 28]]"
Random Forest with Feature Selection,,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}",,0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.8593073593073594,"[[20  8]
 [ 5 28]]"
Neural Network Architecture 1,"Hidden layers [16, 8]; dropout 0.0; Adam lr 0.001; epochs 50; batch size 16",16 -> 8 -> output; dropout 0.0; Adam lr 0.001,Validation accuracy = 0.878,0.7377049180327869,0.7741935483870968,0.7272727272727273,0.75,0.8192640692640694,"[[21  7]
 [ 9 24]]"
Neural Network Architecture 2,"Hidden layers [32, 16, 8]; dropout 0.3; Adam lr 0.001; epochs 50; batch size 16",32 -> dropout 0.3 -> 16 -> 8 -> output; Adam lr 0.001,Validation accuracy = 0.918,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8582251082251083,"[[21  7]
 [ 5 28]]"
