Model,Selected Feature Set,All Feature Count,Selected Feature Count,Selected Features,Removed Features,All Features Accuracy,Selected Features Accuracy,Accuracy Difference,All Features Precision,Selected Features Precision,Precision Difference,All Features Recall,Selected Features Recall,Recall Difference,All Features F1 Score,Selected Features F1 Score,F1 Score Difference,Training Time Seconds
Logistic Regression,Top 10 Features,13,10,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps",0.8032786885245902,0.7868852459016393,-0.016393442622950838,0.8,0.7941176470588235,-0.005882352941176561,0.8484848484848485,0.8181818181818182,-0.030303030303030276,0.8235294117647058,0.8059701492537313,-0.017559262510974505,0.0014970999909564853
KNN,Top 10 Features,13,10,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps",0.7868852459016393,0.7540983606557377,-0.032786885245901676,0.7777777777777778,0.75,-0.02777777777777779,0.8484848484848485,0.8181818181818182,-0.030303030303030276,0.8115942028985508,0.782608695652174,-0.02898550724637683,0.001041999988956377
Decision Tree,Top 10 Features,13,10,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps",0.7704918032786885,0.8032786885245902,0.032786885245901676,0.7435897435897436,0.7837837837837838,0.04019404019404016,0.8787878787878788,0.8787878787878788,0.0,0.8055555555555556,0.8285714285714286,0.023015873015873045,0.0013318999845068902
Random Forest,Top 10 Features,13,10,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps",0.7540983606557377,0.7868852459016393,0.032786885245901676,0.75,0.7631578947368421,0.013157894736842146,0.8181818181818182,0.8787878787878788,0.06060606060606055,0.782608695652174,0.8169014084507042,0.0342927127985303,0.06791380001232028
Neural Network,Top 10 Features,13,10,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps",0.7377049180327869,0.7213114754098361,-0.016393442622950838,0.7741935483870968,0.7666666666666667,-0.007526881720430034,0.7272727272727273,0.696969696969697,-0.030303030303030276,0.75,0.7301587301587301,-0.019841269841269882,8.048982300009811
Logistic Regression,Top 5 Features,13,5,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope",0.8032786885245902,0.7704918032786885,-0.032786885245901676,0.8,0.7878787878787878,-0.0121212121212122,0.8484848484848485,0.7878787878787878,-0.06060606060606066,0.8235294117647058,0.7878787878787878,-0.035650623885918,0.0013273000076878816
KNN,Top 5 Features,13,5,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope",0.7868852459016393,0.7377049180327869,-0.0491803278688524,0.7777777777777778,0.7741935483870968,-0.0035842293906810374,0.8484848484848485,0.7272727272727273,-0.12121212121212122,0.8115942028985508,0.75,-0.061594202898550776,0.0013208999880589545
Decision Tree,Top 5 Features,13,5,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope",0.7704918032786885,0.8032786885245902,0.032786885245901676,0.7435897435897436,0.7837837837837838,0.04019404019404016,0.8787878787878788,0.8787878787878788,0.0,0.8055555555555556,0.8285714285714286,0.023015873015873045,0.0012590000114869326
Random Forest,Top 5 Features,13,5,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope",0.7540983606557377,0.7540983606557377,0.0,0.75,0.7368421052631579,-0.013157894736842146,0.8181818181818182,0.8484848484848485,0.030303030303030276,0.782608695652174,0.7887323943661971,0.006123698714023185,0.06062969999038614
Neural Network,Top 5 Features,13,5,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope",0.7377049180327869,0.819672131147541,0.08196721311475408,0.7741935483870968,0.8666666666666667,0.09247311827956994,0.7272727272727273,0.7878787878787878,0.06060606060606055,0.75,0.8253968253968254,0.07539682539682535,8.019117300020298
